,1,2,3,4,5,collected,annotated,,,,,,,
327,Axis2,F20_20_B,M20,M30,S40_40_B,1,,19,,,,,,
328,Axis2,F20_20_G,M20,M30,S40_40_G,1,,20,,,,,,
329,Axis2,F20_20_G,M20,S40_40_B,S40_40_G,1,,21,,,,,,
330,Axis2,F20_20_G,M30,S40_40_B,S40_40_G,1,,22,,,,,,
331,Axis2,Housing,M20,M30,S40_40_B,1,,23,,,,,,
332,Axis2,Housing,M20,M30,S40_40_G,1,,24,,,,,,
333,Axis2,Housing,M20,S40_40_B,S40_40_G,1,,25,,,,,,
334,Axis2,Housing,M30,S40_40_B,S40_40_G,1,,26,,,,,,
335,Axis2,M20,M30,S40_40_B,S40_40_G,1,,27,,,,,,
336,Bearing2,Drill,F20_20_B,F20_20_G,Housing,1,,28,,,,,,
337,Bearing2,Drill,F20_20_B,F20_20_G,M20,1,,29,,,,,,
338,Bearing2,Drill,F20_20_B,F20_20_G,M30,1,,30,,,,,,
339,Bearing2,Drill,F20_20_B,F20_20_G,S40_40_B,1,,31,,,,,,
340,Bearing2,Drill,F20_20_B,F20_20_G,S40_40_G,1,,32,,,,,,
341,Bearing2,Drill,F20_20_G,Housing,M20,1,,33,,,,,,
342,Bearing2,Drill,F20_20_G,Housing,M30,1,,34,,,,,,
343,Bearing2,Drill,F20_20_G,Housing,S40_40_B,1,,35,,,,,,
344,Bearing2,Drill,F20_20_G,Housing,S40_40_G,1,,36,,,,,,
345,Bearing2,Drill,F20_20_G,M20,M30,1,,37,,,,,,
346,Bearing2,Drill,F20_20_G,M20,S40_40_B,1,,38,,,,,,
347,Bearing2,Drill,F20_20_G,M20,S40_40_G,1,,39,,,,,,
348,Bearing2,Drill,F20_20_G,M20,S40_40_G,1,,40,,,,,,
349,Bearing2,Drill,F20_20_B,M20,S40_40_B,1,,41,,,,,,
350,Bearing2,Drill,F20_20_B,S40_40_B,S40_40_G,1,,42,,,,,,
351,Bearing2,Drill,F20_20_G,Housing,M20,1,,43,,,,,,
352,Bearing2,Drill,F20_20_G,Housing,M30,1,,44,,,,,,
353,Bearing2,Drill,F20_20_G,Housing,S40_40_B,1,,45,,,,,,
354,Bearing2,Drill,F20_20_G,Housing,S40_40_G,1,,46,,,,,,
355,Bearing2,Drill,F20_20_G,M20,M30,1,,47,,,,,,
356,Bearing2,Drill,F20_20_G,M20,S40_40_B,1,,48,,,,,,
357,Bearing2,Drill,F20_20_G,M30,S40_40_G,1,,49,,,,,,
358,Bearing2,Drill,F20_20_G,M30,S40_40_B,1,,50,,,,,,
359,Bearing2,Drill,F20_20_G,M30,S40_40_G,1,,51,,,,,,
360,Bearing2,Drill,F20_20_G,S40_40_B,S40_40_G,1,,52,,,,,,
361,Bearing2,Drill,Housing,M20,M30,1,,53,,,,,,
